,region,yearweek,max_wind,min_wind,avg_wind,max_rain,min_rain,avg_rain,max_snow,min_snow,avg_snow,max_tempmax,min_tempmax,avg_tempmax,max_tempmin,min_tempmin,avg_tempmin
0,Boston,201052,3.1,2.7,2.9000000000000004,3.8,0.0,1.9,0.0,0.0,0.0,13.3,10.6,11.95,3.3,1.7,2.5
1,Boston,201101,7.5,2.8,5.171428571428572,4.1,0.0,1.1285714285714286,48.0,0.0,13.857142857142858,3.9,0.0,2.157142857142857,-1.7,-5.6,-3.585714285714286
2,Boston,201102,10.6,2.9,6.114285714285714,35.6,0.0,5.085714285714286,371.0,0.0,53.0,1.7,-3.9,0.08571428571428566,-2.2,-9.4,-6.1000000000000005
3,Boston,201103,6.3,3.6,4.557142857142857,24.1,0.0,6.771428571428572,185.0,0.0,33.285714285714285,4.4,-6.1,-0.9428571428571428,0.0,-15.0,-7.142857142857143
4,Boston,201104,6.5,2.3,3.8714285714285714,17.3,0.0,3.0571428571428574,224.0,0.0,38.857142857142854,2.8,-10.6,-0.3142857142857142,-3.3,-18.9,-8.314285714285713
5,Boston,201105,6.8,3.1,4.614285714285714,21.8,0.0,5.728571428571429,173.0,0.0,37.714285714285715,5.6,-5.6,0.24285714285714288,1.7,-8.9,-6.357142857142857
6,Boston,201106,6.8,2.7,5.257142857142857,6.9,0.0,1.0571428571428572,13.0,0.0,1.8571428571428572,5.6,-2.2,1.6714285714285713,-1.7,-10.6,-7.071428571428571
7,Boston,201107,10.2,2.7,6.528571428571428,1.3,0.0,0.18571428571428572,0.0,0.0,0.0,15.6,1.7,8.657142857142857,2.8,-8.3,-3.3142857142857145
8,Boston,201108,5.5,3.4,4.757142857142857,41.4,0.0,7.328571428571428,135.0,0.0,27.571428571428573,6.7,-1.1,2.9428571428571426,-1.1,-10.6,-5.642857142857143
9,Boston,201109,8.3,3.6,5.628571428571428,16.0,0.0,2.6142857142857143,5.0,0.0,0.7142857142857143,16.1,-1.7,7.371428571428572,7.8,-11.1,-3.257142857142857
10,Boston,201110,9.6,3.6,6.042857142857143,13.2,0.0,3.442857142857143,0.0,0.0,0.0,13.9,2.8,8.014285714285714,4.4,-3.9,0.7000000000000001
11,Boston,201111,8.3,3.2,4.571428571428571,13.7,0.0,1.957142857142857,0.0,0.0,0.0,21.1,4.4,10.0,7.8,-1.7,1.5142857142857142
12,Boston,201112,7.2,3.5,5.442857142857143,4.1,0.0,0.6285714285714284,8.0,0.0,1.8571428571428572,7.2,3.9,5.628571428571428,1.7,-3.3,-0.7142857142857143
13,Boston,201113,7.3,3.7,5.857142857142857,11.4,0.0,2.9,23.0,0.0,5.428571428571429,12.8,4.4,9.528571428571428,4.4,-2.2,1.042857142857143
14,Boston,201114,7.7,3.0,4.885714285714286,9.7,0.0,1.7857142857142858,0.0,0.0,0.0,18.3,7.8,13.014285714285714,4.4,1.1,2.6142857142857143
15,Boston,201115,8.5,4.7,6.214285714285714,33.8,0.0,8.971428571428572,0.0,0.0,0.0,22.2,7.8,14.585714285714285,8.3,2.2,5.942857142857143
16,Boston,201116,7.9,2.9,4.942857142857143,10.2,0.0,2.1142857142857143,0.0,0.0,0.0,23.9,7.8,13.571428571428571,12.2,3.3,6.042857142857143
